page,country,rev_id,FIPS,Name,Type,TimeFrame,Data (M),Population
Julius Gregr,Czech Republic,395521877.0,,,,,,
Edvard Gregr,Czech Republic,395526568.0,,,,,,
Miroslav Poche,Czech Republic,672862914.0,,,,,,
Vojtěch Mynář,Czech Republic,673008587.0,,,,,,
Jan Malypetr,Czech Republic,704424304.0,,,,,,
Emanuel Moravec,Czech Republic,705080136.0,,,,,,
Vladimír Hučín,Czech Republic,707597623.0,,,,,,
Pavla Topolánková,Czech Republic,709676840.0,,,,,,
Josef Barák,Czech Republic,711675761.0,,,,,,
Antonín Švehla,Czech Republic,712426548.0,,,,,,
Jakob Marzel Sternberger,Czech Republic,713698544.0,,,,,,
Alois Anderka,Czech Republic,714174726.0,,,,,,
Ivan Dejmal,Czech Republic,715467197.0,,,,,,
Franz Macoun,Czech Republic,715640391.0,,,,,,
Karel Urbánek,Czech Republic,716711851.0,,,,,,
Vladimír Klokočka,Czech Republic,717429365.0,,,,,,
Jaromír Jermář,Czech Republic,720027362.0,,,,,,
Artur London,Czech Republic,721736524.0,,,,,,
František Sláma (politician),Czech Republic,722937211.0,,,,,,
Jan Kubice,Czech Republic,723151837.0,,,,,,
Kamil Jankovský,Czech Republic,723207013.0,,,,,,
Václav Vacek,Czech Republic,724691268.0,,,,,,
Čestmír Císař,Czech Republic,725362978.0,,,,,,
Luca Rovinalti,Czech Republic,726666131.0,,,,,,
Kamil Krofta,Czech Republic,726762194.0,,,,,,
Milan Štěch,Czech Republic,728506208.0,,,,,,
Antonín Janoušek,Czech Republic,729912438.0,,,,,,
Bedřich Geminder,Czech Republic,730146355.0,,,,,,
Karel Domin,Czech Republic,735174171.0,,,,,,
Hubert Ripka,Czech Republic,737562321.0,,,,,,
Tomáš Eduard Šilinger,Czech Republic,741588720.0,,,,,,
Petr Janyška,Czech Republic,741798984.0,,,,,,
Jana Juřenčáková,Czech Republic,743423675.0,,,,,,
Jaromír Nečas,Czech Republic,744448745.0,,,,,,
Siegfried Taub,Czech Republic,744612257.0,,,,,,
Záviš Kalandra,Czech Republic,746707985.0,,,,,,
Alois Rašín,Czech Republic,749575931.0,,,,,,
Bedřich Reicin,Czech Republic,749945936.0,,,,,,
Bernd Richter,Czech Republic,751718674.0,,,,,,
Kamil Kalina,Czech Republic,753045804.0,,,,,,
Richard Sacher,Czech Republic,755428089.0,,,,,,
Václav Fischer,Czech Republic,756317863.0,,,,,,
Božena Viková-Kunětická,Czech Republic,757336278.0,,,,,,
Mikuláš of Hus,Czech Republic,758942647.0,,,,,,
Gertruda Sekaninová-Čakrtová,Czech Republic,759446334.0,,,,,,
Petr Mlsna,Czech Republic,765838180.0,,,,,,
Antonín Cyril Stojan,Czech Republic,768047769.0,,,,,,
František Kubka,Czech Republic,768676716.0,,,,,,
Josef Pfitzner,Czech Republic,773853256.0,,,,,,
Vladimír Franz,Czech Republic,774595725.0,,,,,,
Jan Stocklassa,Czech Republic,776095794.0,,,,,,
Jaroslav Krejčí,Czech Republic,776197284.0,,,,,,
Libuše Benešová,Czech Republic,776338134.0,,,,,,
Daniela Filipiová,Czech Republic,776338195.0,,,,,,
Moses Porges von Portheim,Czech Republic,776487173.0,,,,,,
Jan Kasl,Czech Republic,776508129.0,,,,,,
Jiří Kittner,Czech Republic,776509425.0,,,,,,
Miloslav Vlček,Czech Republic,776513404.0,,,,,,
Ivo Svoboda (politician),Czech Republic,776513552.0,,,,,,
Hana Orgoníková,Czech Republic,776513802.0,,,,,,
Pavel Dostál,Czech Republic,776514175.0,,,,,,
Jiří Lobkowicz,Czech Republic,776751749.0,,,,,,
Bohuslav Kokotek,Czech Republic,777876483.0,,,,,,
Alena Hanáková,Czech Republic,778095433.0,,,,,,
Irena Kočí,Czech Republic,779417455.0,,,,,,
Martin Netolický,Czech Republic,779417738.0,,,,,,
David Rath,Czech Republic,779418369.0,,,,,,
Eva Nováková,Czech Republic,779498276.0,,,,,,
Vojtěch Adam,Czech Republic,779500408.0,,,,,,
Vlastimil Balín,Czech Republic,779500749.0,,,,,,
Jiří Dolejš,Czech Republic,779500957.0,,,,,,
Zuzka Bebarová-Rujbrová,Czech Republic,779501010.0,,,,,,
Marie Stiborová,Czech Republic,779501096.0,,,,,,
Jiří Svoboda (politician),Czech Republic,779501161.0,,,,,,
Miloslava Vostrá,Czech Republic,779501194.0,,,,,,
Jiří Čeřovský,Czech Republic,779501654.0,,,,,,
Jan Korger,Czech Republic,779501783.0,,,,,,
Kateřina Jacques,Czech Republic,779581127.0,,,,,,
Tomáš Chalupa,Czech Republic,779839245.0,,,,,,
Pavel Blažek,Czech Republic,779839319.0,,,,,,
Aleš Řebíček,Czech Republic,779839400.0,,,,,,
Ivan Langer,Czech Republic,779839455.0,,,,,,
Jan Stráský,Czech Republic,779839492.0,,,,,,
Jan Chvojka,Czech Republic,779842639.0,,,,,,
Marie Benešová,Czech Republic,779847262.0,,,,,,
Juraj Chmiel,Czech Republic,779847492.0,,,,,,
