article_name,country,revision_id,population,article_quality_est
Bir I of Kanem,Chad,355319463,16.877,Stub
Abdullah II of Kanem,Chad,498683267,16.877,Stub
Salmama II of Kanem,Chad,565745353,16.877,Stub
Kuri I of Kanem,Chad,565745365,16.877,Stub
Mohammed I of Kanem,Chad,565745375,16.877,Stub
Kuri II of Kanem,Chad,669719757,16.877,Stub
Bir II of Kanem,Chad,670893206,16.877,Stub
Mahamat Hissene,Chad,693055898,16.877,Stub
Othman I,Chad,705432607,16.877,Stub
Alphonse Kotiga,Chad,707593108,16.877,Stub
Oueddei Kichidemi,Chad,708346649,16.877,Start
Dunama I,Chad,710675092,16.877,Stub
Ahmad (Kanem-Bornu king),Chad,711388267,16.877,Stub
Djibrine Kerallah,Chad,712971263,16.877,Stub
Maurice Ngangtar,Chad,712971315,16.877,Stub
Idriss Miskine,Chad,712971738,16.877,Stub
Laoukein Kourayo Médard,Chad,716886170,16.877,Stub
Nadji Madou,Chad,716886788,16.877,Stub
Noël Milarew Odingar,Chad,716891799,16.877,Start
Yaya Dillo Djérou,Chad,717733209,16.877,Stub
Acheikh Ibn-Oumar,Chad,719821590,16.877,Start
Quatre Sou Quatre,Chad,720066754,16.877,Stub
Ali Gazi,Chad,722563340,16.877,Stub
Mahamat Djarma Khatir,Chad,725132042,16.877,Stub
Dunama IX Lefiami,Chad,731749611,16.877,Stub
Dawud of Kanem,Chad,736550266,16.877,Stub
Ahmed Koulamallah,Chad,738855197,16.877,Start
Abbo Nassour,Chad,741369486,16.877,C
Abdel Kader Baba-Laddé,Chad,742213176,16.877,Stub
Hummay,Chad,747271475,16.877,Stub
Ngarlejy Yorongar,Chad,751304544,16.877,C
Saleh Kezabo,Chad,751380073,16.877,Stub
Bourkou Louise Kabo,Chad,757072468,16.877,Start
Brahim Koulamallah,Chad,757802238,16.877,Stub
Saadie Goukouni Weddeye,Chad,757842614,16.877,Start
Mahamoud Adam Béchir,Chad,762579466,16.877,Start
Djidingar Dono Ngardoum,Chad,764133533,16.877,Stub
Youssouf Saleh Abbas,Chad,771052289,16.877,C
Koibla Djimasta,Chad,774223245,16.877,Start
Nassour Guelendouksia Ouaido,Chad,774223248,16.877,C
Joseph Brahim Seid,Chad,777478442,16.877,Stub
Joseph Yodoyman,Chad,777550078,16.877,Start
Antoine Bangui,Chad,782638002,16.877,Start
Ibrahim IV of Bornu,Chad,785614014,16.877,Stub
Hadjé Halimé,Chad,786449636,16.877,C
Youssouf Togoïmi,Chad,787390241,16.877,Start
Adoum Younousmi,Chad,787719236,16.877,Start
François Tombalbaye,Chad,787738541,16.877,C
Ahmat Hassaballah Soubiane,Chad,787910771,16.877,Stub
Ahmad Allam-Mi,Chad,787921293,16.877,Start
Laotegguelnodji Koumtog,Chad,788009613,16.877,Stub
Mahamat Ali Adoum,Chad,788014671,16.877,Start
Mahamat Saleh Annadif,Chad,788658822,16.877,Start
Mohamed Bechir-Sow,Chad,788827248,16.877,Stub
Gontchomé Sahoulba,Chad,788828388,16.877,Start
Gabriel Lisette,Chad,788828519,16.877,Start
Ali II of Bornu,Chad,788999424,16.877,Stub
Arabi El Goni,Chad,789126126,16.877,Stub
Dunama Dabbalemi,Chad,789935196,16.877,Start
Idris Alooma,Chad,792734868,16.877,Start
Mahamat Nouri,Chad,792954115,16.877,B
Idriss Ndele Moussa,Chad,796654025,16.877,Stub
Mbaydoum Simeon,Chad,796690873,16.877,Stub
Ngarindo Milengar,Chad,796700718,16.877,Stub
List of Prime Ministers of Chad,Chad,797747674,16.877,Start
Idriss Déby,Chad,798286150,16.877,C
Saleh Kebzabo,Chad,798626040,16.877,C
Moussa Faki,Chad,799043301,16.877,C
Kalzeubet Pahimi Deubet,Chad,799413193,16.877,Stub
Haroun Kabadi,Chad,799447895,16.877,Start
Nagoum Yamassoum,Chad,799447995,16.877,Start
Outel Bono,Chad,799448338,16.877,Start
Ahmat Acyl,Chad,799902492,16.877,C
Djimrangar Dadnadji,Chad,800133552,16.877,Start
Delwa Kassiré Koumakoye,Chad,801029539,16.877,C
Fidèle Moungar,Chad,801192255,16.877,C
Jean Alingué Bawoyeu,Chad,801192303,16.877,B
Emmanuel Nadingar,Chad,801573576,16.877,C
Roger Djikisna,Chad,801583221,16.877,Stub
Firmin Djidingar,Chad,801583260,16.877,Stub
Idris I of Kanem,Chad,802874918,16.877,Stub
Vice President of Chad,Chad,803166509,16.877,Stub
Hissène Habré,Chad,803166806,16.877,GA
Negue Djogo,Chad,803166989,16.877,Start
Wadel Abdelkader Kamougué,Chad,803167152,16.877,C
Félix Malloum,Chad,803167336,16.877,Start
Lol Mahamat Choua,Chad,803167424,16.877,C
Goukouni Oueddei,Chad,803167990,16.877,C
Albert Pahimi Padacké,Chad,803433107,16.877,C
List of heads of state of Chad,Chad,803812011,16.877,Start
Elise Loum,Chad,804773540,16.877,Start
Agnes Allafi,Chad,805493169,16.877,Start
Christine Georges Diguibaye,Chad,806337653,16.877,Stub
Pascal Yoadimnadji,Chad,806508985,16.877,Start
Aissa Koli,Chad,806616268,16.877,Start
Omar I of Kanem,Chad,807425129,16.877,Start
Information Minister of the Palestinian National Authority,Palestinian Territory,393276188,5.008,Stub
Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202,5.008,Start
Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729,5.008,Start
Hossam Arafat (politician),Palestinian Territory,680933208,5.008,Stub
Tawfik Tirawi,Palestinian Territory,701106976,5.008,Start
Isam al-Qadi,Palestinian Territory,706650943,5.008,Stub
Hussein al-Araj,Palestinian Territory,707669406,5.008,Stub
Mohammad Barghouti,Palestinian Territory,708269321,5.008,Stub
Ahmed Khalidi,Palestinian Territory,708495719,5.008,Stub
Health Minister of the Palestinian National Authority,Palestinian Territory,708817890,5.008,Stub
Qais Abd al-Karim,Palestinian Territory,709529097,5.008,Stub
Mahmoud Aloul,Palestinian Territory,709567584,5.008,Stub
Victor Batarseh,Palestinian Territory,709994434,5.008,Stub
Hanna Nasser (academic),Palestinian Territory,710133339,5.008,Start
Anastas Hanania,Palestinian Territory,710390049,5.008,Start
Joudeh George Murqos,Palestinian Territory,710676772,5.008,Stub
Ali al-Sartawi,Palestinian Territory,710990363,5.008,Stub
Jamal Tirawi,Palestinian Territory,712310215,5.008,Start
Samir Abu Eisheh,Palestinian Territory,713203735,5.008,Stub
Sami Taha,Palestinian Territory,713505054,5.008,Start
Ayyub Musallam,Palestinian Territory,714176771,5.008,Stub
Hajj Essa Hamed,Palestinian Territory,714181175,5.008,Start
Hasan Tahboub,Palestinian Territory,714208891,5.008,Stub
Hanna Nasser,Palestinian Territory,714586856,5.008,Stub
Ghazi Hanania,Palestinian Territory,715125381,5.008,Stub
Amin Abd al-Hadi,Palestinian Territory,716425885,5.008,Stub
Samir Hulileh,Palestinian Territory,717174805,5.008,Start
Hatem Qafisha,Palestinian Territory,717350346,5.008,Stub
Nayef Rajoub,Palestinian Territory,717907429,5.008,Stub
Ghassan Shakaa,Palestinian Territory,720225559,5.008,Stub
Salim Zanoun,Palestinian Territory,720541817,5.008,Stub
Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476,5.008,Stub
Umm Nidal,Palestinian Territory,729635985,5.008,C
Aref al-Dajani,Palestinian Territory,730565205,5.008,Start
Faed Mustafa,Palestinian Territory,730612889,5.008,Stub
Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909,5.008,B
Samiha Khalil,Palestinian Territory,737316891,5.008,Start
Imil Jarjoui,Palestinian Territory,738485209,5.008,Stub
Abu Zakaria al-Jamal,Palestinian Territory,740251014,5.008,Stub
Mustafa al-Khalidi,Palestinian Territory,740562507,5.008,Stub
Samir Ghawshah,Palestinian Territory,741240899,5.008,Start
Fuad Kokaly,Palestinian Territory,742810698,5.008,Stub
Janet Mikhail,Palestinian Territory,742930612,5.008,Stub
Hind Khoury,Palestinian Territory,744229617,5.008,Stub
Saloum Cohen,Palestinian Territory,744680083,5.008,Stub
Ahmed Majdalani,Palestinian Territory,745445418,5.008,Start
Faidi al-Alami,Palestinian Territory,746561126,5.008,Stub
Arafat scarf,Palestinian Territory,752269980,5.008,Stub
Zuhir al-Qaisi,Palestinian Territory,754951299,5.008,C
Mohammed Shabir,Palestinian Territory,754960024,5.008,Start
Said Seyam,Palestinian Territory,755358806,5.008,C
Atef Adwan,Palestinian Territory,756834998,5.008,Start
Moussa Arafat,Palestinian Territory,756836183,5.008,Start
Khouloud Daibes,Palestinian Territory,757565638,5.008,Start
