period_begin,period_end,Cases,Moving Average Cases,Cumulative Cases,Deaths,Moving Average Deaths,Cumulative Deaths,Initial Population,Population at Risk,Rate of Infection,Rate of Weekly Infection,Rate of Cases,Rate of Weekly Cases
2020-02-03,2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,1115482,1115482.0,0.0,0.0,,
2020-02-10,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,1115482,1115482.0,0.0,0.0,0.0,0.0
2020-02-17,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,1115482,1115482.0,0.0,0.0,0.0,0.0
2020-02-24,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1115482,1115482.0,0.0,0.0,0.0,0.0
2020-03-02,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,1115482,1115482.0,0.0,0.0,0.0,0.0
2020-03-09,2020-03-15,4.0,2.0,10.0,0.0,0.0,0.0,1115482,1115472.0,0.00017929629789004118,0.00035859259578008236,0.00017929469054632884,0.0003585893810926577
2020-03-16,2020-03-22,76.0,37.0,264.0,0.0,0.0,0.0,1115482,1115218.0,0.003317736980572409,0.0068148110952298115,0.0031376570845607554,0.006454608859667839
2020-03-23,2020-03-29,267.0,186.0,1562.0,1.0,0.0,1.0,1115482,1113919.0,0.016697802982083974,0.02396942686137861,0.0133574544457015,0.017122642947174405
2020-03-30,2020-04-05,371.0,317.0,3791.0,3.0,1.0,17.0,1115482,1111674.0,0.0285155540203333,0.033373093190989446,0.01174380223078454,0.009323323908409101
2020-04-06,2020-04-12,255.0,338.0,6156.0,8.0,7.0,68.0,1115482,1109258.0,0.03047081923231566,0.022988339953374237,0.0018825942507364529,-0.010399092051687073
2020-04-13,2020-04-19,224.0,215.0,7656.0,17.0,11.0,141.0,1115482,1107685.0,0.019409850273317777,0.020222355633596194,-0.011026623468599225,-0.0027790677034680972
2020-04-20,2020-04-26,280.0,275.0,9579.0,12.0,17.0,264.0,1115482,1105639.0,0.024872494548401423,0.025324721722008718,0.005378840716389865,0.005020251335297208
2020-04-27,2020-05-03,245.0,253.0,11339.0,8.0,8.0,323.0,1115482,1103820.0,0.022920403689007263,0.02219564784113352,-0.001972241596009617,-0.0031376570845607554
2020-05-04,2020-05-10,389.0,323.0,13596.0,12.0,12.0,404.0,1115482,1101482.0,0.029324128764700648,0.035316056004546605,0.006275314169121511,0.012909217719335678
2020-05-11,2020-05-17,511.0,436.0,16651.0,3.0,6.0,442.0,1115482,1098389.0,0.03969449803302837,0.0465226800341227,0.010130150015867579,0.010936976123326059
2020-05-18,2020-05-24,650.0,572.0,20646.0,9.0,5.0,486.0,1115482,1094350.0,0.05226846986795815,0.059395988486316074,0.012192038957150363,0.012460980992969856
2020-05-25,2020-05-31,1035.0,829.0,26449.0,16.0,12.0,576.0,1115482,1088457.0,0.07616286173914082,0.09508873570568245,0.023039367735203257,0.0345142279301683
2020-06-01,2020-06-07,1303.0,1196.0,34816.0,20.0,18.0,703.0,1115482,1079963.0,0.11074453476646885,0.1206522816059439,0.032900575715251346,0.024025488533208066
2020-06-08,2020-06-14,1631.0,1458.0,45023.0,12.0,16.0,813.0,1115482,1069646.0,0.1363067781303347,0.15248035331315218,0.02348760446156908,0.029404329249597932
2020-06-15,2020-06-21,1652.0,1666.0,56687.0,20.0,16.0,918.0,1115482,1057877.0,0.15748522748863997,0.1561618222156262,0.018646647816818202,0.0018825942507364529
2020-06-22,2020-06-28,1896.0,1796.0,69259.0,5.0,14.0,1008.0,1115482,1045215.0,0.1718306759853236,0.18139808556134385,0.011654154885511374,0.021873952246652117
2020-06-29,2020-07-05,2271.0,2216.0,84770.0,8.0,6.0,1055.0,1115482,1029657.0,0.2152173005185222,0.220558885143305,0.037651885014729054,0.03361775447743666
2020-07-06,2020-07-12,2233.0,2077.0,99307.0,5.0,7.0,1102.0,1115482,1015073.0,0.2046158256598294,0.21998417847780405,-0.012460980992969856,-0.003406599120380248
2020-07-13,2020-07-19,2227.0,2398.0,116093.0,11.0,9.0,1161.0,1115482,998228.0,0.24022567990479132,0.2230953249157507,0.02877679783268578,-0.0005378840716389866
2020-07-20,2020-07-26,1940.0,2043.0,130394.0,17.0,15.0,1279.0,1115482,983809.0,0.2076622596459272,0.19719274777929455,-0.03182480757197337,-0.025728788093398187
2020-07-27,2020-08-02,1695.0,1833.0,143222.0,23.0,14.0,1383.0,1115482,970877.0,0.18879837507737848,0.17458442212556277,-0.018825942507364527,-0.021963599591925283
2020-08-03,2020-08-09,1272.0,1493.0,153677.0,18.0,27.0,1567.0,1115482,960238.0,0.15548228668309313,0.13246715918345245,-0.030480097392875907,-0.037920827050548556
2020-08-10,2020-08-16,1035.0,1105.0,161413.0,29.0,21.0,1721.0,1115482,952348.0,0.1160290146039053,0.10867876028510587,-0.0347831699659878,-0.02124642082973997
2020-08-17,2020-08-23,1113.0,1038.0,168684.0,14.0,20.0,1856.0,1115482,944942.0,0.10984801183564706,0.11778500691047705,-0.006006372133302016,0.0069924929313068245
2020-08-24,2020-08-30,1151.0,1155.0,176773.0,13.0,16.0,1967.0,1115482,936742.0,0.12329969191089969,0.12287267999086195,0.010488739396960238,0.003406599120380248
2020-08-31,2020-09-06,893.0,1023.0,183932.0,25.0,19.0,2103.0,1115482,929447.0,0.11006544751879344,0.09607863600614129,-0.011833449576057704,-0.023129015080476423
2020-09-07,2020-09-13,666.0,738.0,189106.0,22.0,25.0,2275.0,1115482,924101.0,0.07986140043133813,0.07207004429169539,-0.025549493402851862,-0.020349947377008324
2020-09-14,2020-09-20,707.0,700.0,194006.0,8.0,12.0,2357.0,1115482,919119.0,0.07615988789264502,0.07692148677157147,-0.003406599120380248,0.0036755411561997416
2020-09-21,2020-09-27,797.0,738.0,199171.0,13.0,9.0,2422.0,1115482,913889.0,0.08075378957400735,0.08720971584076403,0.003406599120380248,0.008068261074584797
2020-09-28,2020-10-04,665.0,704.0,204097.0,9.0,12.0,2503.0,1115482,908882.0,0.07745779980239459,0.07316681373379602,-0.0030480097392875907,-0.011833449576057704
2020-10-05,2020-10-11,912.0,817.0,209813.0,4.0,7.0,2548.0,1115482,903121.0,0.09046406849137602,0.10098314622293138,0.010130150015867579,0.022142894282471612
