period_begin,period_end,inventory,total_homes_sold,median_sale_price,median_new_listing_price,total_new_listings
2020-02-03,2020-02-09,4022.0,251.0,265000.0,299900.0,403.0
2020-02-10,2020-02-16,4041.0,346.0,279497.5,315000.0,428.0
2020-02-17,2020-02-23,4070.0,286.0,283000.0,299000.0,413.0
2020-02-24,2020-03-01,4007.0,522.0,271750.0,314900.0,426.0
2020-03-02,2020-03-08,4132.0,360.0,286500.0,317850.0,548.0
2020-03-09,2020-03-15,4237.0,401.0,280000.0,330000.0,579.0
2020-03-16,2020-03-22,4311.0,445.0,285000.0,299900.0,560.0
2020-03-23,2020-03-29,4317.0,416.0,297287.5,274900.0,427.0
2020-03-30,2020-04-05,4246.0,435.0,311000.0,299950.0,316.0
2020-04-06,2020-04-12,4267.0,268.0,283995.0,273096.5,299.0
2020-04-13,2020-04-19,4247.0,327.0,301000.0,281766.5,352.0
2020-04-20,2020-04-26,4221.0,340.0,323000.0,299900.0,335.0
2020-04-27,2020-05-03,4266.0,398.0,296745.0,339900.0,444.0
2020-05-04,2020-05-10,4429.0,252.0,303250.0,321000.0,538.0
2020-05-11,2020-05-17,4511.0,311.0,287500.0,329214.5,512.0
2020-05-18,2020-05-24,4613.0,312.0,285050.0,308500.0,504.0
2020-05-25,2020-05-31,4559.0,405.0,284805.0,339000.0,413.0
2020-06-01,2020-06-07,4616.0,386.0,290000.0,313155.0,546.0
2020-06-08,2020-06-14,4594.0,414.0,305000.0,315000.0,455.0
2020-06-15,2020-06-21,4517.0,460.0,290000.0,309000.0,488.0
2020-06-22,2020-06-28,4443.0,516.0,303950.0,300000.0,492.0
2020-06-29,2020-07-05,4306.0,587.0,302000.0,300000.0,435.0
2020-07-06,2020-07-12,4307.0,447.0,305500.0,319950.0,519.0
2020-07-13,2020-07-19,4290.0,540.0,305000.0,319949.5,534.0
2020-07-20,2020-07-26,4334.0,480.0,293500.0,304665.0,597.0
2020-07-27,2020-08-02,4221.0,624.0,305000.0,324900.0,520.0
2020-08-03,2020-08-09,4255.0,442.0,309495.0,315000.0,510.0
2020-08-10,2020-08-16,4232.0,472.0,325000.0,323165.0,498.0
2020-08-17,2020-08-23,4229.0,490.0,304500.0,300000.0,499.0
2020-08-24,2020-08-30,4198.0,503.0,299000.0,324763.0,503.0
2020-08-31,2020-09-06,4072.0,580.0,306000.0,320000.0,508.0
2020-09-07,2020-09-13,4103.0,398.0,294950.0,324900.0,463.0
2020-09-14,2020-09-20,4072.0,502.0,312000.0,314000.0,491.0
2020-09-21,2020-09-27,4097.0,425.0,300000.0,299990.0,489.0
2020-09-28,2020-10-04,4021.0,593.0,305000.0,305000.0,491.0
2020-10-05,2020-10-11,3999.0,422.0,298750.0,315000.0,466.0
2020-10-12,2020-10-18,4030.0,414.0,313000.0,315000.0,491.0
2020-10-19,2020-10-25,4033.0,443.0,303000.0,315000.0,481.0
2020-10-26,2020-11-01,3898.0,551.0,317000.0,300000.0,434.0
2020-11-02,2020-11-08,3866.0,415.0,306000.0,309900.0,384.0
2020-11-09,2020-11-15,3788.0,404.0,304832.5,312499.5,362.0
2020-11-16,2020-11-22,3676.0,525.0,320000.0,331130.0,372.0
2020-11-23,2020-11-29,3583.0,286.0,308750.0,309900.0,215.0
2020-11-30,2020-12-06,3468.0,541.0,317000.0,316500.0,396.0
2020-12-07,2020-12-13,3343.0,427.0,319990.0,299000.0,345.0
2020-12-14,2020-12-20,3146.0,482.0,310250.0,314878.0,274.0
2020-12-21,2020-12-27,3012.0,304.0,313500.0,307000.0,146.0
2020-12-28,2021-01-03,2861.0,360.0,295000.0,321000.0,158.0
2021-01-04,2021-01-10,2817.0,332.0,297750.0,317500.0,379.0
2021-01-11,2021-01-17,2825.0,355.0,310000.0,320000.0,396.0
2021-01-18,2021-01-24,2805.0,286.0,307495.0,331900.0,365.0
2021-01-25,2021-01-31,2721.0,373.0,312000.0,337950.0,358.0
2021-02-01,2021-02-07,2755.0,252.0,322500.0,331116.0,421.0
2021-02-08,2021-02-14,2802.0,308.0,312750.0,325900.0,437.0
2021-02-15,2021-02-21,2845.0,295.0,324900.0,315000.0,428.0
2021-02-22,2021-02-28,2749.0,514.0,322700.0,325000.0,419.0
2021-03-01,2021-03-07,2830.0,359.0,343000.0,328195.0,526.0
2021-03-08,2021-03-14,2861.0,404.0,337250.0,335000.0,479.0
2021-03-15,2021-03-21,2851.0,435.0,319000.0,340000.0,465.0
2021-03-22,2021-03-28,2822.0,453.0,340000.0,369999.0,451.0
2021-03-29,2021-04-04,2793.0,503.0,346000.0,345000.0,449.0
2021-04-05,2021-04-11,2861.0,391.0,335000.0,365000.0,489.0
2021-04-12,2021-04-18,2919.0,398.0,336000.0,350000.0,512.0
2021-04-19,2021-04-25,2888.0,369.0,330000.0,369000.0,425.0
2021-04-26,2021-05-02,2817.0,639.0,356650.0,354899.5,512.0
2021-05-03,2021-05-09,2821.0,435.0,345000.0,350000.0,452.0
2021-05-10,2021-05-16,2824.0,469.0,345250.0,350000.0,516.0
2021-05-17,2021-05-23,2809.0,487.0,350000.0,375000.0,493.0
2021-05-24,2021-05-30,2739.0,629.0,358000.0,360000.0,442.0
2021-05-31,2021-06-06,2852.0,374.0,362500.0,362500.0,519.0
2021-06-07,2021-06-13,2857.0,458.0,354000.0,350000.0,520.0
2021-06-14,2021-06-20,2895.0,467.0,366000.0,370000.0,489.0
2021-06-21,2021-06-27,2948.0,458.0,355000.0,355000.0,535.0
2021-06-28,2021-07-04,2768.0,635.0,350000.0,350000.0,360.0
2021-07-05,2021-07-11,2848.0,393.0,347990.0,350000.0,502.0
2021-07-12,2021-07-18,2807.0,491.0,350000.0,350000.0,463.0
2021-07-19,2021-07-25,2823.0,435.0,365683.0,354950.0,458.0
2021-07-26,2021-08-01,2795.0,563.0,355000.0,369949.5,476.0
2021-08-02,2021-08-08,2807.0,437.0,374000.0,350000.0,460.0
2021-08-09,2021-08-15,2767.0,448.0,359337.5,359990.0,423.0
2021-08-16,2021-08-22,2739.0,431.0,370000.0,360000.0,415.0
2021-08-23,2021-08-29,2694.0,488.0,345000.0,350000.0,393.0
2021-08-30,2021-09-05,2597.0,541.0,370000.0,357450.0,378.0
2021-09-06,2021-09-12,2614.0,360.0,365250.0,360000.0,398.0
2021-09-13,2021-09-19,2595.0,451.0,371000.0,363230.0,388.0
2021-09-20,2021-09-26,2574.0,417.0,335000.0,374950.0,308.0
2021-09-27,2021-10-03,2492.0,575.0,360000.0,385000.0,314.0
2021-10-04,2021-10-10,2479.0,396.0,370000.0,362130.0,270.0
